"branch","url","sha","ahead","behind","contained","patch_equivalent_to_main","patch_check","last_activity","author","subject","changed_file_count","subsystems","name_family","classification","recommended_action","confidence","uncertainty"
"6042","https://github.com/KooshaPari/OmniRoute/tree/6042","1d7146deb2507ba12873e6b8b632a2962d4d9dce","4648","224","False","False","not-run","7/6/2026 10:40:14 PM","KooshaPari","test(ci): reconcile complexity gate","0","none","6042","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: 6042, koosha/sidecar-provider-manifest-client"
"agent/pin-v4-oxlint","https://github.com/KooshaPari/OmniRoute/tree/agent%2Fpin-v4-oxlint","c358990c1a1859e1bb28591a5cd3474fc6859200","1","0","False","False","not-run","7/14/2026 4:25:56 PM","KooshaPari","ci: pin v4 oxlint version","0","none","pin-v4-oxlint","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"agent/recover-root-manifests","https://github.com/KooshaPari/OmniRoute/tree/agent%2Frecover-root-manifests","9008cb26a74554b3a5b0bb0e193acc6b3edb9b42","4597","224","False","False","not-run","7/14/2026 2:57:40 PM","KooshaPari","fix: recover root bootstrap manifests","0","none","recover-root-manifests","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"agent/ts7-migration","https://github.com/KooshaPari/OmniRoute/tree/agent%2Fts7-migration","d1b57f971338f5ffdf8b4b3a7238cea22e97f2d2","4981","224","False","False","not-run","7/14/2026 4:39:23 AM","KooshaPari","chore: adopt TypeScript 7 compiler","0","none","ts7-migration","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"chore/catch-harden-completion-cli","https://github.com/KooshaPari/OmniRoute/tree/chore%2Fcatch-harden-completion-cli","36a26be715399eef87a03fdaaa231b7bd8d63377","4758","224","False","False","not-run","7/7/2026 7:38:04 PM","KooshaPari","chore(cli): harden empty catches in completion.mjs with env-gated error logging","0","none","chore-catch-harden-completion-cli","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"chore/ts-nocheck-usage-tracking","https://github.com/KooshaPari/OmniRoute/tree/chore%2Fts-nocheck-usage-tracking","e1b8eea926566c95d53edd1fefad266a622923cd","4759","224","False","False","not-run","7/7/2026 7:58:27 PM","KooshaPari","chore(open-sse): remove vestigial @ts-nocheck from usageTracking.ts","0","none","chore-ts-nocheck-usage-tracking","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"ci/v4-journey-evidence-proof","https://github.com/KooshaPari/OmniRoute/tree/ci%2Fv4-journey-evidence-proof","0d352eee928e84b5833ffcbe89b93069157389e6","3","0","False","False","not-run","7/14/2026 4:32:50 PM","KooshaPari","ci: prove v4 journey evidence lifecycle","0","none","ci-journey-evidence-proof","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/agent-auto-routing-audit","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fagent-auto-routing-audit","4d80e0a6692eb22bbf667f5dfcb283a3d6817dfc","4976","224","False","False","not-run","7/13/2026 8:22:49 PM","KooshaPari","fix(auto): use p95 fallback in speed factors","0","none","agent-auto-routing-audit","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/ai-assisted-issue-agents","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fai-assisted-issue-agents","3980ced459c9fe8afbf49e3f4a0d33ec1571d5e5","4662","224","False","False","not-run","7/3/2026 2:48:35 PM","kooshapari","fix(dev): guard api key devices TRACE before Next","0","none","ai-assisted-issue-agents","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/backend-failure-state","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fbackend-failure-state","8d024e1f75c903c845756f8531b62c7b00474eba","4629","224","False","False","not-run","7/3/2026 2:42:10 AM","kooshapari","Rebaseline PR #6004 cognitive drift","0","none","backend-failure-state","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/ci-test-masking-base","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fci-test-masking-base","78cec67d4a8c34b2b02780ed33d726743eefefce","4996","224","False","False","not-run","7/14/2026 1:41:16 PM","KooshaPari","test(ci): make masking self-reference check hermetic","0","none","ci-test-masking-base","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/cliproxy-model-mapping","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fcliproxy-model-mapping","f6aa6515fe6d86be9aaff0cd4cdabcb3f1fe6520","4568","224","False","False","not-run","7/2/2026 7:30:03 PM","KooshaPari","feat: apply cliproxy model mappings in proxy dispatch","0","none","cliproxy-model-mapping","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: codex/cliproxy-model-mapping, upstream-pr/codex/cliproxy-model-mapping"
"codex/model-latency-stats-api","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fmodel-latency-stats-api","ae8dab1a35d548c3e6c3be4da0354cba14fcf495","4640","224","False","False","not-run","7/5/2026 2:14:54 AM","KooshaPari","docs(api): document model latency stats endpoint (#297)","0","none","model-latency-stats-api","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/model-latency-stats-sort","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fmodel-latency-stats-sort","abf5703df16933fcbf9a9f3f353e0c67258f89fc","4640","224","False","False","not-run","7/12/2026 5:32:24 PM","KooshaPari","feat(api): sort model latency stats","0","none","model-latency-stats-sort","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/modepack-consistency","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fmodepack-consistency","10a34ae40fc386b241ca94f0ac4a7ef4dd2b27e8","4638","224","False","False","not-run","7/12/2026 4:53:43 PM","KooshaPari","fix(routing): honor modePack weights in combo fallback ranking","0","none","modepack-consistency","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/modepack-consistency-v2","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fmodepack-consistency-v2","3c7212257101c27b0f73409ff22a5a6a8933a929","4964","224","False","False","not-run","7/12/2026 6:16:02 PM","KooshaPari","fix(routing): honor modePack weights in combo fallback ranking","0","none","modepack-consistency","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/native-router-backend-plan","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fnative-router-backend-plan","95cf1e867b5264fedd79d4460b2d80be0909e873","4629","224","False","False","not-run","7/3/2026 2:42:10 AM","kooshapari","Rebaseline PR #6005 cognitive drift","0","none","native-router-backend-plan","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/omniroute-recovery-gates-20260704","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fomniroute-recovery-gates-20260704","d5de65e56e73834560537fd46d5106ddf768e5c5","4677","224","False","False","not-run","7/4/2026 7:05:58 PM","KooshaPari","fix proxy assignment schema bootstrap","0","none","omniroute-recovery-gates","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/provider-model-performance-snapshots","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fprovider-model-performance-snapshots","26b5d2461d72b249eadb25807317c424bb17159b","4569","224","False","False","not-run","7/5/2026 2:14:57 AM","KooshaPari","docs(routing): define latency reliability routing policy (#298)","0","none","provider-model-performance-snapshots","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/relay-observability-headers","https://github.com/KooshaPari/OmniRoute/tree/codex%2Frelay-observability-headers","2cfe0b9c25986ca1caff4bd438dc92b35928ffa0","4638","224","False","False","not-run","7/3/2026 9:36:22 PM","KooshaPari","feat: normalize relay routing observability headers","0","none","relay-observability-headers","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: codex/relay-observability-headers, upstream-pr/codex/relay-observability-headers"
"codex/scoring-inspector-weight-source","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fscoring-inspector-weight-source","1969ce353fce441d3b3ba5a1b9b0e0c875efdfe2","4976","224","False","False","not-run","7/13/2026 6:31:28 PM","KooshaPari","fix(inspector): report effective auto scoring weights","0","none","scoring-inspector-weight-source","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/sse-comment-compat","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fsse-comment-compat","fbe246f696f63f2744c5a3cb9cc04a7f76a89bf4","4976","224","False","False","not-run","7/13/2026 11:07:22 PM","KooshaPari","Use OpenAI chunks for early chat keepalives","0","none","sse-comment-compat","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
"codex/vibeproxy-provider-preset","https://github.com/KooshaPari/OmniRoute/tree/codex%2Fvibeproxy-provider-preset","4243fac75d5585845d7596f26e612c34252cfe44","4638","224","False","False","not-run","7/3/2026 2:38:45 PM","KooshaPari","feat: add vibeproxy provider node preset","0","none","vibeproxy-provider-preset","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: codex/vibeproxy-provider-preset, upstream-pr/codex/vibeproxy-provider-preset"
"docs/issue-router-rfcs","https://github.com/KooshaPari/OmniRoute/tree/docs%2Fissue-router-rfcs","1334c35b95e15f7aa92f0057ff774147f1d1efac","4547","224","False","False","not-run","7/4/2026 1:11:29 AM","KooshaPari","docs: add RFC frontmatter","0","none","docs-issue-router-rfcs","duplicate","retain-one-tip;archive-duplicates-after-review","high","identical tip shared by: docs/issue-router-rfcs, upstream-pr/docs/issue-router-rfcs"
"docs/phenotype-decision-inputs","https://github.com/KooshaPari/OmniRoute/tree/docs%2Fphenotype-decision-inputs","e3a8fec4280e448c5e9c536e45598934e72bbf2f","3","0","False","False","not-run","7/14/2026 4:09:08 PM","KooshaPari","docs: add Phenotype decision inputs","0","none","docs-phenotype-decision-inputs","salvage","review-and-cherry-pick-to-fresh-main-branch","low","patch identity and subsystem scan incomplete"
