command: bun scripts/check/check-t11-any-budget.mjs
startedAt: 2026-07-16T22:11:29.221Z
finishedAt: 2026-07-16T22:11:29.345Z
exitCode: 0
signal: none
inputSha256: 4eebb77395344fd1fb74d78960b4d8a998b89a342cedd116add6fdc008de968c
sourceTreeSha256: 5f890fc7377e2346df734962bea2015d5e73ff62166cd58574b776f296db8afa
stdout:
[t11:any-budget] OK - src/app/api/settings/proxy/test/route.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/shared/components/OAuthModal.tsx (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/index.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/translator/registry.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/lib/db/apiKeys.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/lib/db/cliToolState.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/lib/db/encryption.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/lib/db/prompts.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/lib/db/providers.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - src/lib/db/settings.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/config/providerRegistry.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/config/providerModels.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/mcp-server/audit.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/mcp-server/server.ts (explicit any: 3, budget: 3)
[t11:any-budget] OK - open-sse/mcp-server/tools/advancedTools.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/signatureCache.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/comboMetrics.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/sessionManager.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/provider.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/contextManager.ts (explicit any: 0, budget: 0)
[t11:any-budget] OK - open-sse/services/comboConfig.ts (explicit any: 0, budget: 0)
